Sq ft,Burglaries,Rent
916,15,2490
571,8,890
1019,7,2050
1277,1,3250
1221,16,2770
1825,8,4450
1682,16,3280
1306,16,2900
872,12,990
1477,10,2600
837,5,2230
821,7,1220
1062,9,2370
826,11,2170
926,0,2280
1912,10,4070
1280,3,2990
1714,19,3920
880,16,2270
1463,11,3550
1265,17,2130
1097,0,2450
1531,4,3610
1280,0,3240
1318,17,3560
721,16,1420
1570,3,3400
1289,14,1770
966,10,2790
1100,9,1980
944,6,1920
1329,2,3630
1241,3,1940
850,10,2050
808,1,2780
972,8,2270
624,15,1680
1367,4,3050
1162,10,3090
840,12,1150
1817,7,3930
1382,3,2860
1435,6,3760
912,7,2700
1891,7,3230
907,14,1850
1653,15,3320
904,3,2290
643,11,2400
1279,17,3250
1453,15,2600
780,5,2850
1570,1,3260
1246,17,3030
1548,4,4370
1156,7,2590
1253,8,2110
1766,16,3520
1646,11,3540
1538,14,3300
1314,3,2920
1150,11,2930
1850,15,3860
1727,10,4280
1146,19,2970
1077,13,2830
1444,12,2960
1146,11,2530
1551,14,3060
647,12,2360
996,4,2480
1067,9,3010
1414,15,3940
2061,13,4340
905,10,3160
1317,3,3020
1794,10,3890
1124,7,2720
1903,4,5780
1605,3,3710
905,9,2210
1435,12,3180
863,1,1690
1622,15,3160
1128,4,3000
1957,17,3140
1564,5,2870
1024,7,1520
2086,9,3710
683,14,1300
1217,14,3090
1317,9,3560
1365,17,2940
909,5,2320
1614,8,3720
899,14,2030
723,5,2400
340,15,1250
1512,19,3710
1458,15,2320
